TTP,counts,NORM
T1003.001,13,0.042105263157894736
T1497,13,0.042105263157894736
T1020,13,0.042105263157894736
T1090.003,13,0.042105263157894736
T1090.001,13,0.042105263157894736
T1021.001,12,0.03859649122807018
T1102.001,12,0.03859649122807018
T1555,12,0.03859649122807018
T1564.004,11,0.03508771929824561
T1560.002,11,0.03508771929824561
T1087.002,11,0.03508771929824561
T1203,11,0.03508771929824561
T1136.001,11,0.03508771929824561
T1001.003,11,0.03508771929824561
T1210,11,0.03508771929824561
T1552.001,11,0.03508771929824561
T1001.001,11,0.03508771929824561
T1185,11,0.03508771929824561
T1053.003,10,0.031578947368421054
T1134,10,0.031578947368421054
T1069.002,10,0.031578947368421054
T1071.002,10,0.031578947368421054
T1480,9,0.028070175438596492
T1056.004,9,0.028070175438596492
T1134.001,9,0.028070175438596492
T1529,9,0.028070175438596492
T1570,9,0.028070175438596492
T1030,9,0.028070175438596492
T1218.005,8,0.02456140350877193
T1222.002,8,0.02456140350877193
T1205,8,0.02456140350877193
T1567.002,8,0.02456140350877193
T1539,8,0.02456140350877193
T1001.002,8,0.02456140350877193
T1543.004,8,0.02456140350877193
T1090.002,8,0.02456140350877193
T1027.005,8,0.02456140350877193
T1559.002,8,0.02456140350877193
T1546.015,8,0.02456140350877193
T1110.001,8,0.02456140350877193
T1056.002,8,0.02456140350877193
T1071,8,0.02456140350877193
T1554,7,0.021052631578947368
T1222.001,7,0.021052631578947368
T1189,7,0.021052631578947368
T1559.001,7,0.021052631578947368
T1134.002,7,0.021052631578947368
T1197,7,0.021052631578947368
T1572,7,0.021052631578947368
T1496,7,0.021052631578947368
T1080,7,0.021052631578947368
T1003.002,7,0.021052631578947368
T1114.001,7,0.021052631578947368
T1132.002,7,0.021052631578947368
T1219,6,0.017543859649122806
T1573,6,0.017543859649122806
T1217,6,0.017543859649122806
T1568,6,0.017543859649122806
T1003,6,0.017543859649122806
T1505.003,6,0.017543859649122806
T1048,6,0.017543859649122806
T1561.002,6,0.017543859649122806
T1055.004,6,0.017543859649122806
T1552.004,6,0.017543859649122806
T1078,6,0.017543859649122806
T1547.004,6,0.017543859649122806
T1546.003,6,0.017543859649122806
