TTP,counts,weight
T1048.003,14,0.04895104895104895
T1068,14,0.04895104895104895
T1069.001,14,0.04895104895104895
T1003.001,13,0.045454545454545456
T1497,13,0.045454545454545456
T1020,13,0.045454545454545456
T1090.003,13,0.045454545454545456
T1090.001,13,0.045454545454545456
T1021.001,12,0.04195804195804196
T1102.001,12,0.04195804195804196
T1555,12,0.04195804195804196
T1564.004,11,0.038461538461538464
T1560.002,11,0.038461538461538464
T1087.002,11,0.038461538461538464
T1203,11,0.038461538461538464
T1136.001,11,0.038461538461538464
T1001.003,11,0.038461538461538464
T1210,11,0.038461538461538464
T1552.001,11,0.038461538461538464
T1001.001,11,0.038461538461538464
T1185,11,0.038461538461538464
T1053.003,10,0.03496503496503497
T1134,10,0.03496503496503497
T1069.002,10,0.03496503496503497
T1071.002,10,0.03496503496503497
T1480,9,0.03146853146853147
T1056.004,9,0.03146853146853147
T1134.001,9,0.03146853146853147
T1529,9,0.03146853146853147
T1570,9,0.03146853146853147
T1030,9,0.03146853146853147
T1218.005,8,0.027972027972027972
T1222.002,8,0.027972027972027972
T1205,8,0.027972027972027972
T1567.002,8,0.027972027972027972
T1539,8,0.027972027972027972
T1001.002,8,0.027972027972027972
T1543.004,8,0.027972027972027972
T1090.002,8,0.027972027972027972
T1027.005,8,0.027972027972027972
T1559.002,8,0.027972027972027972
T1546.015,8,0.027972027972027972
T1110.001,8,0.027972027972027972
T1056.002,8,0.027972027972027972
T1071,8,0.027972027972027972
T1554,7,0.024475524475524476
T1222.001,7,0.024475524475524476
T1189,7,0.024475524475524476
T1559.001,7,0.024475524475524476
T1134.002,7,0.024475524475524476
T1197,7,0.024475524475524476
T1572,7,0.024475524475524476
T1496,7,0.024475524475524476
T1080,7,0.024475524475524476
T1003.002,7,0.024475524475524476
T1114.001,7,0.024475524475524476
T1132.002,7,0.024475524475524476
T1219,6,0.02097902097902098
T1573,6,0.02097902097902098
T1217,6,0.02097902097902098
T1568,6,0.02097902097902098
T1003,6,0.02097902097902098
T1505.003,6,0.02097902097902098
T1048,6,0.02097902097902098
T1561.002,6,0.02097902097902098
T1055.004,6,0.02097902097902098
T1552.004,6,0.02097902097902098
T1078,6,0.02097902097902098
T1547.004,6,0.02097902097902098
T1546.003,6,0.02097902097902098
T1087.003,6,0.02097902097902098
T1542.003,6,0.02097902097902098
T1620,5,0.017482517482517484
T1555.004,5,0.017482517482517484
T1001,5,0.017482517482517484
T1016.001,5,0.017482517482517484
T1069,5,0.017482517482517484
T1040,5,0.017482517482517484
T1052.001,5,0.017482517482517484
T1110,5,0.017482517482517484
T1021.005,5,0.017482517482517484
T1104,5,0.017482517482517484
T1055.002,5,0.017482517482517484
T1039,4,0.013986013986013986
T1555.001,4,0.013986013986013986
T1102.003,4,0.013986013986013986
T1078.003,4,0.013986013986013986
T1037.001,4,0.013986013986013986
T1133,4,0.013986013986013986
T1078.002,4,0.013986013986013986
T1036.001,4,0.013986013986013986
T1569.001,4,0.013986013986013986
T1027.004,4,0.013986013986013986
T1132,4,0.013986013986013986
T1574.006,4,0.013986013986013986
T1614,4,0.013986013986013986
T1561.001,4,0.013986013986013986
T1480.001,4,0.013986013986013986
T1037.004,4,0.013986013986013986
T1134.004,3,0.01048951048951049
T1552.002,3,0.01048951048951049
T1574,3,0.01048951048951049
T1553.006,3,0.01048951048951049
T1543.002,3,0.01048951048951049
T1553.004,3,0.01048951048951049
T1553.001,3,0.01048951048951049
T1567,3,0.01048951048951049
T1546.011,3,0.01048951048951049
T1546.010,3,0.01048951048951049
T1564,3,0.01048951048951049
T1190,3,0.01048951048951049
T1547,3,0.01048951048951049
T1078.001,3,0.01048951048951049
T1195.002,3,0.01048951048951049
T1562.006,3,0.01048951048951049
T1548.003,3,0.01048951048951049
T1622,3,0.01048951048951049
T1609,3,0.01048951048951049
T1098.004,3,0.01048951048951049
T1542.001,3,0.01048951048951049
T1565.002,3,0.01048951048951049
T1484.001,3,0.01048951048951049
T1482,3,0.01048951048951049
T1114.002,3,0.01048951048951049
T1564.006,3,0.01048951048951049
T1611,3,0.01048951048951049
T1555.005,3,0.01048951048951049
T1547.015,3,0.01048951048951049
T1531,3,0.01048951048951049
T1176,3,0.01048951048951049
T1059.002,3,0.01048951048951049
T1564.005,3,0.01048951048951049
T1055.003,3,0.01048951048951049
T1056,2,0.006993006993006993
T1568.001,2,0.006993006993006993
T1055.011,2,0.006993006993006993
T1055.013,2,0.006993006993006993
T1550.002,2,0.006993006993006993
T1053,2,0.006993006993006993
T1559,2,0.006993006993006993
T1070.005,2,0.006993006993006993
T1556.003,2,0.006993006993006993
T1556,2,0.006993006993006993
T1548.001,2,0.006993006993006993
T1564.010,2,0.006993006993006993
T1070.003,2,0.006993006993006993
T1499,2,0.006993006993006993
T1092,2,0.006993006993006993
T1218.002,2,0.006993006993006993
T1218.004,2,0.006993006993006993
T1221,2,0.006993006993006993
T1610,2,0.006993006993006993
T1137.001,2,0.006993006993006993
T1491.001,2,0.006993006993006993
T1495,2,0.006993006993006993
T1497.002,2,0.006993006993006993
T1547.013,2,0.006993006993006993
T1110.003,2,0.006993006993006993
T1505.004,2,0.006993006993006993
T1098,2,0.006993006993006993
T1546.012,2,0.006993006993006993
T1090.004,2,0.006993006993006993
T1546.004,2,0.006993006993006993
T1021,2,0.006993006993006993
T1547.012,2,0.006993006993006993
T1547.008,2,0.006993006993006993
T1547.006,2,0.006993006993006993
T1021.004,2,0.006993006993006993
T1564.002,1,0.0034965034965034965
T1021.006,1,0.0034965034965034965
T1003.004,1,0.0034965034965034965
T1037.005,1,0.0034965034965034965
T1615,1,0.0034965034965034965
T1003.005,1,0.0034965034965034965
T1613,1,0.0034965034965034965
T1036.003,1,0.0034965034965034965
T1601.001,1,0.0034965034965034965
T1011.001,1,0.0034965034965034965
T1598.003,1,0.0034965034965034965
T1564.009,1,0.0034965034965034965
T1036.006,1,0.0034965034965034965
T1598.002,1,0.0034965034965034965
T1565.001,1,0.0034965034965034965
T1588.003,1,0.0034965034965034965
T1021.003,1,0.0034965034965034965
T1574.013,1,0.0034965034965034965
T1574.010,1,0.0034965034965034965
T1566,1,0.0034965034965034965
T1036.007,1,0.0034965034965034965
T1027.006,1,0.0034965034965034965
T1213,1,0.0034965034965034965
